date,name,type,duration_min,distance_km,elevation_m,avg_hr,max_hr,kudos
2025-01-19,Lunch Pilates,Pilates,54.5,0.0,0,,,2
2025-01-23,Morning Run,Run,28.3,4.04,13.0,,,13
2025-01-25,Afternoon Run,Run,27.8,4.22,12.9,,,13
2025-01-26,Morning HIIT,HighIntensityIntervalTraining,63.1,0.0,0,,,7
2025-02-02,Morning HIIT,HighIntensityIntervalTraining,59.9,0.0,0,,,8
2025-02-04,Evening Pilates,Pilates,46.2,0.0,0,,,8
2025-02-05,Afternoon Pilates,Pilates,43.5,0.0,0,,,6
2025-02-06,Evening Workout,HighIntensityIntervalTraining,58.4,0.0,0,,,5
2025-02-10,Evening HIIT,HighIntensityIntervalTraining,56.5,0.0,0,,,5
2025-02-16,Lunch HIIT,HighIntensityIntervalTraining,48.0,0.0,0,,,8
2025-02-19,Evening HIIT,HighIntensityIntervalTraining,45.4,0.0,0,,,4
2025-02-20,Evening HIIT,HighIntensityIntervalTraining,58.2,0.0,0,,,4
2025-02-23,Evening Pilates,Pilates,46.0,0.0,0,,,6
2025-02-24,Evening HIIT,HighIntensityIntervalTraining,40.3,0.0,0,,,3
2025-02-26,Evening HIIT,HighIntensityIntervalTraining,48.8,0.0,0,,,4
2025-03-01,Afternoon HIIT,HighIntensityIntervalTraining,42.5,0.0,0,,,1
2025-03-05,Evening HIIT,HighIntensityIntervalTraining,45.4,0.0,0,,,1
2025-03-06,Evening HIIT,HighIntensityIntervalTraining,57.4,0.0,0,,,5
2025-03-09,Bodypump #121,HighIntensityIntervalTraining,58.7,0.0,0,,,5
2025-03-10,Evening Run,Run,39.2,6.31,5.3,,,10
2025-03-12,Evening HIIT,HighIntensityIntervalTraining,47.8,0.0,0,,,3
2025-03-13,Evening HIIT,HighIntensityIntervalTraining,58.0,0.0,0,,,4
2025-03-15,Morning Run with FRC Club,Run,42.4,6.55,14.6,,,10
2025-03-16,Morning Workout,HighIntensityIntervalTraining,58.2,0.0,0,,,8
2025-03-19,Evening Run,Run,39.3,6.62,4.9,,,6
2025-03-20,Evening HIIT,HighIntensityIntervalTraining,58.7,0.0,0,,,3
2025-03-22,Morning Run,Run,44.3,6.78,11.3,,,10
2025-03-24,QSW Run 🏃‍♀️🏃‍♀️,Run,29.4,5.05,0,,,10
2025-03-27,Evening HIIT,HighIntensityIntervalTraining,65.3,0.0,0,,,2
2025-03-30,Morning HIIT,HighIntensityIntervalTraining,58.1,0.0,0,,,2
2025-03-31,Evening HIIT,HighIntensityIntervalTraining,59.6,0.0,0,,,4
2025-04-01,Afternoon Run,Run,68.4,10.05,26.3,,,12
2025-04-03,Evening HIIT,HighIntensityIntervalTraining,57.8,0.0,0,,,5
2025-04-06,Amigos Run Club,Run,28.6,4.88,15.6,,,9
2025-04-27,Evening Run,Run,33.2,5.04,5.0,,,11
2025-04-28,Afternoon HIIT,HighIntensityIntervalTraining,61.8,0.0,0,,,7
2025-05-04,Toronto Marathon 10 k,Run,53.1,8.77,18.0,,,22
2025-05-05,Evening Pilates,Pilates,47.1,0.0,0,,,6
2025-05-08,Evening HIIT,HighIntensityIntervalTraining,58.6,0.0,0,,,8
2025-05-10,FRC Run 🤗,Run,33.8,5.43,0,,,11
2025-05-11,Lunch Run,Run,53.1,8.29,17.3,,,14
2025-05-14,Evening Run,Run,29.7,5.02,10.2,,,11
2025-05-17,Afternoon Run,Run,31.5,5.06,2.3,,,12
2025-05-22,Evening Walk,Walk,53.6,4.02,29.8,,,10
2025-05-26,Evening Run,Run,31.0,4.57,0,,,12
2025-05-31,Morning Run,Run,58.7,8.11,15.8,,,12
2025-06-01,Morning HIIT,HighIntensityIntervalTraining,59.2,0.0,0,,,3
2025-06-02,Evening Run,Run,35.6,5.83,6.4,,,5
2025-06-12,Evening HIIT,HighIntensityIntervalTraining,59.0,0.0,0,,,3
2025-06-15,"Do it sad, do it happy, do it anyway!",HighIntensityIntervalTraining,58.3,0.0,0,,,9
2025-06-16,Evening Run,Run,26.3,4.34,9.9,,,12
2025-06-16,Evening Walk,Walk,4.9,0.44,0,,,2
2025-06-19,Afternoon HIIT,HighIntensityIntervalTraining,53.1,0.0,0,,,4
2025-06-20,Afternoon Weight Training,WeightTraining,52.5,0.0,0,,,4
2025-06-21,FRC Run,Run,55.2,8.04,0,,,10
2025-06-22,Lunch Yoga,Yoga,58.3,0.0,0,,,4
2025-06-26,Evening HIIT,HighIntensityIntervalTraining,56.3,0.0,0,,,0
2025-06-29,Morning Run,Run,33.7,5.33,10.6,,,10
